Region,Code,Name,CC Adult Open_43801,CC Adult Occ_43801,Occupancy rate_43801,CC Adult Open_43802,CC Adult Occ_43802,Occupancy rate_43802,CC Adult Open_43803,CC Adult Occ_43803,Occupancy rate_43803,CC Adult Open_43804,CC Adult Occ_43804,Occupancy rate_43804,CC Adult Open_43805,CC Adult Occ_43805,Occupancy rate_43805,CC Adult Open_43806,CC Adult Occ_43806,Occupancy rate_43806,CC Adult Open_43807,CC Adult Occ_43807,Occupancy rate_43807,CC Adult Open_43808,CC Adult Occ_43808,Occupancy rate_43808,CC Adult Open_43809,CC Adult Occ_43809,Occupancy rate_43809,CC Adult Open_43810,CC Adult Occ_43810,Occupancy rate_43810,CC Adult Open_43811,CC Adult Occ_43811,Occupancy rate_43811,CC Adult Open_43812,CC Adult Occ_43812,Occupancy rate_43812,CC Adult Open_43813,CC Adult Occ_43813,Occupancy rate_43813,CC Adult Open_43814,CC Adult Occ_43814,Occupancy rate_43814,CC Adult Open_43815,CC Adult Occ_43815,Occupancy rate_43815,CC Adult Open_43816,CC Adult Occ_43816,Occupancy rate_43816,CC Adult Open_43817,CC Adult Occ_43817,Occupancy rate_43817,CC Adult Open_43818,CC Adult Occ_43818,Occupancy rate_43818,CC Adult Open_43819,CC Adult Occ_43819,Occupancy rate_43819,CC Adult Open_43820,CC Adult Occ_43820,Occupancy rate_43820,CC Adult Open_43821,CC Adult Occ_43821,Occupancy rate_43821,CC Adult Open_43822,CC Adult Occ_43822,Occupancy rate_43822,CC Adult Open_43823,CC Adult Occ_43823,Occupancy rate_43823,CC Adult Open_43824,CC Adult Occ_43824,Occupancy rate_43824,CC Adult Open_43825,CC Adult Occ_43825,Occupancy rate_43825,CC Adult Open_43826,CC Adult Occ_43826,Occupancy rate_43826,CC Adult Open_43827,CC Adult Occ_43827,Occupancy rate_43827,CC Adult Open_43828,CC Adult Occ_43828,Occupancy rate_43828,CC Adult Open_43829,CC Adult Occ_43829,Occupancy rate_43829,CC Adult Open_43830,CC Adult Occ_43830,Occupancy rate_43830,CC Adult Open_43831,CC Adult Occ_43831,Occupancy rate_43831,CC Adult Open_43832,CC Adult Occ_43832,Occupancy rate_43832,CC Adult Open_43833,CC Adult Occ_43833,Occupancy rate_43833,CC Adult Open_43834,CC Adult Occ_43834,Occupancy rate_43834,CC Adult Open_43835,CC Adult Occ_43835,Occupancy rate_43835,CC Adult Open_43836,CC Adult Occ_43836,Occupancy rate_43836,CC Adult Open_43837,CC Adult Occ_43837,Occupancy rate_43837,CC Adult Open_43838,CC Adult Occ_43838,Occupancy rate_43838,CC Adult Open_43839,CC Adult Occ_43839,Occupancy rate_43839,CC Adult Open_43840,CC Adult Occ_43840,Occupancy rate_43840,CC Adult Open_43841,CC Adult Occ_43841,Occupancy rate_43841,CC Adult Open_43842,CC Adult Occ_43842,Occupancy rate_43842,CC Adult Open_43843,CC Adult Occ_43843,Occupancy rate_43843,CC Adult Open_43844,CC Adult Occ_43844,Occupancy rate_43844,CC Adult Open_43845,CC Adult Occ_43845,Occupancy rate_43845,CC Adult Open_43846,CC Adult Occ_43846,Occupancy rate_43846,CC Adult Open_43847,CC Adult Occ_43847,Occupancy rate_43847,CC Adult Open_43848,CC Adult Occ_43848,Occupancy rate_43848,CC Adult Open_43849,CC Adult Occ_43849,Occupancy rate_43849,CC Adult Open_43850,CC Adult Occ_43850,Occupancy rate_43850,CC Adult Open_43851,CC Adult Occ_43851,Occupancy rate_43851,CC Adult Open_43852,CC Adult Occ_43852,Occupancy rate_43852,CC Adult Open_43853,CC Adult Occ_43853,Occupancy rate_43853,CC Adult Open_43854,CC Adult Occ_43854,Occupancy rate_43854,CC Adult Open_43855,CC Adult Occ_43855,Occupancy rate_43855,CC Adult Open_43856,CC Adult Occ_43856,Occupancy rate_43856,CC Adult Open_43857,CC Adult Occ_43857,Occupancy rate_43857,CC Adult Open_43858,CC Adult Occ_43858,Occupancy rate_43858,CC Adult Open_43859,CC Adult Occ_43859,Occupancy rate_43859,CC Adult Open_43860,CC Adult Occ_43860,Occupancy rate_43860,CC Adult Open_43861,CC Adult Occ_43861,Occupancy rate_43861,CC Adult Open_43862,CC Adult Occ_43862,Occupancy rate_43862,CC Adult Open_43863,CC Adult Occ_43863,Occupancy rate_43863,CC Adult Open_43864,CC Adult Occ_43864,Occupancy rate_43864,CC Adult Open_43865,CC Adult Occ_43865,Occupancy rate_43865,CC Adult Open_43866,CC Adult Occ_43866,Occupancy rate_43866,CC Adult Open_43867,CC Adult Occ_43867,Occupancy rate_43867,CC Adult Open_43868,CC Adult Occ_43868,Occupancy rate_43868,CC Adult Open_43869,CC Adult Occ_43869,Occupancy rate_43869,CC Adult Open_43870,CC Adult Occ_43870,Occupancy rate_43870,CC Adult Open_43871,CC Adult Occ_43871,Occupancy rate_43871,CC Adult Open_43872,CC Adult Occ_43872,Occupancy rate_43872,CC Adult Open_43873,CC Adult Occ_43873,Occupancy rate_43873,CC Adult Open_43874,CC Adult Occ_43874,Occupancy rate_43874,CC Adult Open_43875,CC Adult Occ_43875,Occupancy rate_43875,CC Adult Open_43876,CC Adult Occ_43876,Occupancy rate_43876,CC Adult Open_43877,CC Adult Occ_43877,Occupancy rate_43877,CC Adult Open_43878,CC Adult Occ_43878,Occupancy rate_43878,CC Adult Open_43879,CC Adult Occ_43879,Occupancy rate_43879,CC Adult Open_43880,CC Adult Occ_43880,Occupancy rate_43880,CC Adult Open_43881,CC Adult Occ_43881,Occupancy rate_43881,CC Adult Open_43882,CC Adult Occ_43882,Occupancy rate_43882,CC Adult Open_43883,CC Adult Occ_43883,Occupancy rate_43883,CC Adult Open_43884,CC Adult Occ_43884,Occupancy rate_43884,CC Adult Open_43885,CC Adult Occ_43885,Occupancy rate_43885,CC Adult Open_43886,CC Adult Occ_43886,Occupancy rate_43886,CC Adult Open_43887,CC Adult Occ_43887,Occupancy rate_43887,CC Adult Open_43888,CC Adult Occ_43888,Occupancy rate_43888,CC Adult Open_43889,CC Adult Occ_43889,Occupancy rate_43889,CC Adult Open_43890,CC Adult Occ_43890,Occupancy rate_43890,CC Adult Open_43891,CC Adult Occ_43891,Occupancy rate_43891
London Commissioning Region,RAX,Kingston Hospital NHS Foundation Trust,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,11,78.60%,14,12,85.70%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,12,85.70%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,14,100.00%,14,13,92.90%,14,13,92.90%,14,14,100.00%,14,12,85.70%,14,11,78.60%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,11,78.60%,14,11,78.60%,14,9,64.30%,14,10,71.40%,14,10,71.40%,14,11,78.60%,14,13,92.90%,14,13,92.90%,14,13,92.90%,14,8,57.10%,14,10,71.40%,14,10,71.40%,14,7,50.00%,14,6,42.90%,14,9,64.30%,14,11,78.60%,14,10,71.40%,14,10,71.40%,14,10,71.40%,14,9,64.30%
London Commissioning Region,RJ2,Lewisham and Greenwich NHS Trust,33,31,93.90%,33,27,81.80%,33,28,84.80%,33,30,90.90%,33,27,81.80%,33,25,75.80%,33,25,75.80%,33,28,84.80%,33,31,93.90%,33,28,84.80%,33,31,93.90%,33,29,87.90%,33,28,84.80%,34,31,91.20%,33,33,100.00%,35,35,100.00%,33,31,93.90%,33,32,97.00%,33,24,72.70%,33,23,69.70%,33,28,84.80%,33,27,81.80%,33,28,84.80%,34,32,94.10%,33,28,84.80%,33,32,97.00%,34,34,100.00%,33,33,100.00%,34,34,100.00%,33,30,90.90%,33,33,100.00%,33,28,84.80%,33,22,66.70%,33,33,100.00%,33,33,100.00%,33,33,100.00%,33,32,97.00%,33,32,97.00%,34,31,91.20%,33,23,69.70%,33,31,93.90%,34,34,100.00%,34,34,100.00%,35,35,100.00%,35,35,100.00%,33,31,93.90%,33,31,93.90%,33,30,90.90%,34,32,94.10%,35,35,100.00%,34,32,94.10%,33,29,87.90%,33,31,93.90%,33,29,87.90%,31,28,90.30%,33,29,87.90%,33,30,90.90%,33,31,93.90%,33,33,100.00%,33,26,78.80%,33,16,48.50%,33,21,63.60%,33,24,72.70%,33,23,69.70%,33,24,72.70%,33,33,100.00%,33,23,69.70%,33,30,90.90%,33,30,90.90%,33,27,81.80%,33,28,84.80%,33,31,93.90%,33,29,87.90%,33,30,90.90%,33,28,84.80%,33,27,81.80%,33,27,81.80%,34,32,94.10%,33,27,81.80%,31,29,93.50%,33,28,84.80%,33,27,81.80%,33,24,72.70%,34,34,100.00%,34,27,79.40%,33,30,90.90%,33,32,97.00%,33,27,81.80%,36,24,66.70%,30,21,70.00%,33,24,72.70%
London Commissioning Region,R1K,London North West University Healthcare NHS Trust,33,31,93.90%,33,31,93.90%,33,31,93.90%,33,27,81.80%,33,27,81.80%,33,27,81.80%,33,27,81.80%,33,25,75.80%,33,26,78.80%,33,27,81.80%,33,24,72.70%,33,27,81.80%,33,28,84.80%,33,28,84.80%,33,29,87.90%,33,27,81.80%,33,29,87.90%,33,28,84.80%,33,26,78.80%,33,28,84.80%,33,29,87.90%,33,30,90.90%,33,28,84.80%,33,28,84.80%,33,28,84.80%,33,27,81.80%,33,27,81.80%,33,27,81.80%,33,29,87.90%,33,29,87.90%,33,30,90.90%,33,30,90.90%,33,30,90.90%,33,31,93.90%,33,31,93.90%,33,30,90.90%,33,30,90.90%,33,29,87.90%,33,28,84.80%,33,27,81.80%,33,27,81.80%,33,28,84.80%,33,27,81.80%,33,28,84.80%,33,25,75.80%,33,26,78.80%,33,25,75.80%,33,25,75.80%,33,26,78.80%,33,27,81.80%,33,29,87.90%,33,27,81.80%,33,26,78.80%,33,25,75.80%,33,25,75.80%,33,26,78.80%,33,28,84.80%,33,28,84.80%,33,28,84.80%,33,28,84.80%,33,28,84.80%,33,29,87.90%,33,29,87.90%,33,30,90.90%,33,27,81.80%,33,26,78.80%,33,24,72.70%,33,27,81.80%,33,28,84.80%,33,28,84.80%,33,26,78.80%,33,26,78.80%,33,29,87.90%,33,29,87.90%,33,28,84.80%,33,28,84.80%,33,29,87.90%,33,29,87.90%,33,28,84.80%,33,28,84.80%,33,29,87.90%,33,29,87.90%,33,29,87.90%,33,30,90.90%,33,27,81.80%,33,29,87.90%,33,27,81.80%,33,27,81.80%,33,26,78.80%,33,26,78.80%,33,27,81.80%
London Commissioning Region,RAP,North Middlesex University Hospital NHS Trust,10,9,90.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,7,70.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,8,80.00%,10,9,90.00%,10,10,100.00%,10,9,90.00%,10,8,80.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,7,70.00%,10,6,60.00%,10,8,80.00%
London Commissioning Region,RAL,Royal Free London NHS Foundation Trust,51,50,98.00%,51,50,98.00%,51,49,96.10%,51,50,98.00%,51,49,96.10%,51,49,96.10%,54,49,90.70%,52,50,96.20%,50,49,98.00%,52,49,94.20%,51,47,92.20%,51,48,94.10%,51,47,92.20%,50,47,94.00%,53,50,94.30%,55,53,96.40%,49,47,95.90%,47,44,93.60%,47,43,91.50%,47,43,91.50%,49,46,93.90%,49,49,100.00%,49,46,93.90%,49,46,93.90%,53,50,94.30%,53,49,92.50%,52,46,88.50%,54,51,94.40%,50,45,90.00%,50,46,92.00%,46,43,93.50%,50,44,88.00%,50,48,96.00%,50,48,96.00%,54,53,98.10%,55,53,96.40%,55,51,92.70%,55,53,96.40%,56,54,96.40%,56,53,94.60%,56,55,98.20%,56,55,98.20%,51,49,96.10%,55,54,98.20%,54,53,98.10%,54,50,92.60%,54,50,92.60%,53,53,100.00%,53,52,98.10%,53,49,92.50%,53,50,94.30%,55,52,94.50%,55,53,96.40%,55,53,96.40%,55,54,98.20%,55,54,98.20%,55,53,96.40%,54,53,98.10%,50,46,92.00%,51,49,96.10%,51,48,94.10%,51,49,96.10%,50,48,96.00%,50,48,96.00%,55,50,90.90%,53,51,96.20%,48,45,93.80%,48,44,91.70%,48,44,91.70%,51,49,96.10%,53,50,94.30%,54,50,92.60%,55,51,92.70%,55,52,94.50%,52,51,98.10%,52,51,98.10%,56,51,91.10%,54,50,92.60%,54,51,94.40%,52,51,98.10%,55,50,90.90%,52,48,92.30%,53,49,92.50%,52,50,96.20%,57,54,94.70%,57,51,89.50%,54,50,92.60%,54,51,94.40%,54,52,96.30%,54,52,96.30%,48,47,97.90%
London Commissioning Region,RJ7,St George's University Hospitals NHS Foundation Trust,60,55,91.70%,60,57,95.00%,60,56,93.30%,60,57,95.00%,60,55,91.70%,60,56,93.30%,53,47,88.70%,60,53,88.30%,60,53,88.30%,60,58,96.70%,60,50,83.30%,60,57,95.00%,57,53,93.00%,53,51,96.20%,60,54,90.00%,60,55,91.70%,60,54,90.00%,60,57,95.00%,56,50,89.30%,60,60,100.00%,53,50,94.30%,60,55,91.70%,60,56,93.30%,60,54,90.00%,60,55,91.70%,60,55,91.70%,60,55,91.70%,60,42,70.00%,60,57,95.00%,50,45,90.00%,50,45,90.00%,53,48,90.60%,60,53,88.30%,60,51,85.00%,60,51,85.00%,60,54,90.00%,60,50,83.30%,57,53,93.00%,56,55,98.20%,60,52,86.70%,60,59,98.30%,53,51,96.20%,53,51,96.20%,60,58,96.70%,60,57,95.00%,60,56,93.30%,60,56,93.30%,57,53,93.00%,57,42,73.70%,60,51,85.00%,60,44,73.30%,60,51,85.00%,60,51,85.00%,60,54,90.00%,60,56,93.30%,60,45,75.00%,57,52,91.20%,60,55,91.70%,60,56,93.30%,60,57,95.00%,60,58,96.70%,60,56,93.30%,53,50,94.30%,55,49,89.10%,60,55,91.70%,60,55,91.70%,57,21,36.80%,60,51,85.00%,60,46,76.70%,60,51,85.00%,60,53,88.30%,57,51,89.50%,60,57,95.00%,60,53,88.30%,60,57,95.00%,60,53,88.30%,60,53,88.30%,60,53,88.30%,60,52,86.70%,60,54,90.00%,60,54,90.00%,60,54,90.00%,53,48,90.60%,60,47,78.30%,60,55,91.70%,60,54,90.00%,60,57,95.00%,60,55,91.70%,60,54,90.00%,60,54,90.00%,53,47,88.70%
London Commissioning Region,RAS,The Hillingdon Hospitals NHS Foundation Trust,9,6,66.70%,9,6,66.70%,9,3,33.30%,9,6,66.70%,9,7,77.80%,9,8,88.90%,9,7,77.80%,9,6,66.70%,9,8,88.90%,9,7,77.80%,9,7,77.80%,9,7,77.80%,9,7,77.80%,9,7,77.80%,9,8,88.90%,9,9,100.00%,9,9,100.00%,9,6,66.70%,9,5,55.60%,9,7,77.80%,9,7,77.80%,9,5,55.60%,9,7,77.80%,9,6,66.70%,9,7,77.80%,9,7,77.80%,9,8,88.90%,9,6,66.70%,9,5,55.60%,9,7,77.80%,9,9,100.00%,9,9,100.00%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,7,77.80%,9,9,100.00%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,9,100.00%,9,8,88.90%,9,9,100.00%,9,9,100.00%,9,9,100.00%,9,9,100.00%,9,9,100.00%,9,8,88.90%,9,9,100.00%,9,8,88.90%,9,9,100.00%,9,7,77.80%,9,9,100.00%,9,9,100.00%,9,8,88.90%,9,8,88.90%,9,7,77.80%,9,9,100.00%,9,8,88.90%,9,8,88.90%,9,9,100.00%,9,8,88.90%,9,8,88.90%,9,9,100.00%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,9,100.00%,9,9,100.00%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,7,77.80%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,8,88.90%,9,9,100.00%,9,8,88.90%,9,7,77.80%,9,7,77.80%,9,7,77.80%,9,6,66.70%,9,7,77.80%,9,9,100.00%,9,9,100.00%,9,6,66.70%,9,5,55.60%,9,7,77.80%,9,7,77.80%
London Commissioning Region,RRV,University College London Hospitals NHS Foundation Trust,61,55,90.20%,61,58,95.10%,61,60,98.40%,61,55,90.20%,61,59,96.70%,61,54,88.50%,61,55,90.20%,61,57,93.40%,61,55,90.20%,61,58,95.10%,61,51,83.60%,61,51,83.60%,61,56,91.80%,61,53,86.90%,61,54,88.50%,61,57,93.40%,61,52,85.20%,61,59,96.70%,61,55,90.20%,61,50,82.00%,61,47,77.00%,61,45,73.80%,61,46,75.40%,61,46,75.40%,61,48,78.70%,61,49,80.30%,61,46,75.40%,61,49,80.30%,61,48,78.70%,61,51,83.60%,61,49,80.30%,61,50,82.00%,61,52,85.20%,61,47,77.00%,61,48,78.70%,61,54,88.50%,61,53,86.90%,61,56,91.80%,61,56,91.80%,61,51,83.60%,61,49,80.30%,61,45,73.80%,61,48,78.70%,61,49,80.30%,61,53,86.90%,61,56,91.80%,61,54,88.50%,61,51,83.60%,61,51,83.60%,61,50,82.00%,61,54,88.50%,61,54,88.50%,61,53,86.90%,61,53,86.90%,61,50,82.00%,61,50,82.00%,61,49,80.30%,61,51,83.60%,61,54,88.50%,61,50,82.00%,61,48,78.70%,61,45,73.80%,61,49,80.30%,61,52,85.20%,61,54,88.50%,61,50,82.00%,61,49,80.30%,61,47,77.00%,61,49,80.30%,61,47,77.00%,61,50,82.00%,61,50,82.00%,61,56,91.80%,61,57,93.40%,61,56,91.80%,61,54,88.50%,61,46,75.40%,61,51,83.60%,61,54,88.50%,61,52,85.20%,61,52,85.20%,61,50,82.00%,61,48,78.70%,61,47,77.00%,61,47,77.00%,61,47,77.00%,61,52,85.20%,61,53,86.90%,61,53,86.90%,61,50,82.00%,61,53,86.90%
London Commissioning Region,RKE,Whittington Health NHS Trust,10,8,80.00%,10,10,100.00%,10,9,90.00%,10,8,80.00%,10,8,80.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,10,100.00%,10,6,60.00%,10,6,60.00%,10,7,70.00%,10,8,80.00%,10,6,60.00%,10,10,100.00%,10,9,90.00%,11,11,100.00%,10,8,80.00%,10,8,80.00%,10,9,90.00%,10,8,80.00%,10,8,80.00%,10,8,80.00%,10,9,90.00%,10,9,90.00%,10,9,90.00%,10,7,70.00%,10,8,80.00%,10,7,70.00%,10,10,100.00%,11,11,100.00%,10,10,100.00%,11,11,100.00%,10,10,100.00%,10,9,90.00%,11,11,100.00%,11,11,100.00%,10,10,100.00%,11,10,90.90%,10,10,100.00%,11,11,100.00%,10,9,90.00%,13,13,100.00%,11,11,100.00%,10,10,100.00%,10,10,100.00%,10,8,80.00%,10,8,80.00%,10,9,90.00%,10,9,90.00%,10,7,70.00%,10,9,90.00%,10,8,80.00%,10,9,90.00%,11,11,100.00%,11,11,100.00%,10,10,100.00%,10,9,90.00%,10,8,80.00%,10,8,80.00%,10,6,60.00%,10,7,70.00%,10,10,100.00%,10,10,100.00%,10,10,100.00%,10,9,90.00%,10,8,80.00%,10,7,70.00%,10,8,80.00%,10,10,100.00%,1,1,100.00%,10,9,90.00%,10,7,70.00%,10,7,70.00%,10,9,90.00%,10,8,80.00%,10,10,100.00%,10,7,70.00%,10,9,90.00%,10,9,90.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,8,80.00%,10,9,90.00%,10,8,80.00%,10,10,100.00%,10,9,90.00%,10,9,90.00%,10,8,80.00%
East Of England Commissioning Region,RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,34,30,88.20%,34,32,94.10%,34,30,88.20%,34,30,88.20%,34,29,85.30%,34,29,85.30%,34,32,94.10%,34,32,94.10%,34,30,88.20%,34,30,88.20%,34,30,88.20%,34,30,88.20%,34,0,0.00%,34,0,0.00%,34,0,0.00%,34,28,82.40%,34,21,61.80%,34,25,73.50%,34,31,91.20%,34,22,64.70%,34,19,55.90%,34,18,52.90%,34,18,52.90%,34,11,32.40%,34,18,52.90%,34,22,64.70%,34,26,76.50%,34,19,55.90%,34,20,58.80%,34,26,76.50%,34,26,76.50%,34,27,79.40%,34,27,79.40%,34,19,55.90%,34,19,55.90%,34,21,61.80%,34,21,61.80%,34,21,61.80%,34,21,61.80%,34,21,61.80%,34,21,61.80%,34,20,58.80%,34,22,64.70%,34,23,67.60%,34,25,73.50%,34,23,67.60%,34,22,64.70%,34,28,82.40%,34,21,61.80%,34,27,79.40%,34,28,82.40%,34,28,82.40%,34,29,85.30%,34,24,70.60%,34,24,70.60%,34,19,55.90%,34,26,76.50%,34,26,76.50%,34,29,85.30%,34,27,79.40%,34,29,85.30%,34,29,85.30%,34,29,85.30%,34,31,91.20%,34,27,79.40%,34,29,85.30%,34,31,91.20%,34,31,91.20%,34,31,91.20%,34,24,70.60%,34,27,79.40%,34,26,76.50%,34,28,82.40%,34,28,82.40%,34,22,64.70%,34,22,64.70%,34,22,64.70%,34,25,73.50%,34,22,64.70%,34,27,79.40%,34,27,79.40%,34,27,79.40%,34,25,73.50%,34,26,76.50%,34,28,82.40%,34,31,91.20%,34,30,88.20%,34,28,82.40%,34,26,76.50%,34,31,91.20%,34,26,76.50%
East Of England Commissioning Region,RC1,Bedford Hospital NHS Trust,11,4,36.40%,11,5,45.50%,11,7,63.60%,11,7,63.60%,11,8,72.70%,11,7,63.60%,11,8,72.70%,11,8,72.70%,11,8,72.70%,11,7,63.60%,11,8,72.70%,11,9,81.80%,11,8,72.70%,11,8,72.70%,11,7,63.60%,11,7,63.60%,11,8,72.70%,11,7,63.60%,11,7,63.60%,11,8,72.70%,11,7,63.60%,11,7,63.60%,11,6,54.50%,11,5,45.50%,11,3,27.30%,11,6,54.50%,11,9,81.80%,11,8,72.70%,11,7,63.60%,11,7,63.60%,11,6,54.50%,11,7,63.60%,11,6,54.50%,11,7,63.60%,11,8,72.70%,11,9,81.80%,11,8,72.70%,11,10,90.90%,11,9,81.80%,11,7,63.60%,11,7,63.60%,11,7,63.60%,11,7,63.60%,11,7,63.60%,11,9,81.80%,11,9,81.80%,11,6,54.50%,11,7,63.60%,11,6,54.50%,11,6,54.50%,11,4,36.40%,11,5,45.50%,11,6,54.50%,11,5,45.50%,11,6,54.50%,11,6,54.50%,11,5,45.50%,11,8,72.70%,11,9,81.80%,11,8,72.70%,11,8,72.70%,11,9,81.80%,11,7,63.60%,11,8,72.70%,11,6,54.50%,11,6,54.50%,11,7,63.60%,11,6,54.50%,11,5,45.50%,11,8,72.70%,11,6,54.50%,11,7,63.60%,11,8,72.70%,11,8,72.70%,11,7,63.60%,11,7,63.60%,11,6,54.50%,11,9,81.80%,11,9,81.80%,11,8,72.70%,11,7,63.60%,11,9,81.80%,11,8,72.70%,11,9,81.80%,11,8,72.70%,11,8,72.70%,11,9,81.80%,11,7,63.60%,11,8,72.70%,11,8,72.70%,11,8,72.70%
East Of England Commissioning Region,RGT,Cambridge University Hospitals NHS Foundation Trust,67,62,92.50%,67,60,89.60%,67,61,91.00%,67,61,91.00%,67,62,92.50%,67,57,85.10%,67,58,86.60%,67,62,92.50%,67,61,91.00%,67,64,95.50%,67,58,86.60%,67,58,86.60%,67,58,86.60%,67,57,85.10%,67,60,89.60%,67,58,86.60%,67,57,85.10%,67,61,91.00%,67,60,89.60%,67,57,85.10%,67,55,82.10%,67,58,86.60%,67,52,77.60%,67,53,79.10%,67,54,80.60%,67,54,80.60%,67,55,82.10%,67,54,80.60%,67,60,89.60%,67,52,77.60%,67,52,77.60%,67,54,80.60%,67,54,80.60%,67,55,82.10%,66,56,84.80%,67,61,91.00%,67,60,89.60%,67,60,89.60%,67,63,94.00%,67,61,91.00%,67,57,85.10%,67,58,86.60%,67,62,92.50%,67,58,86.60%,67,62,92.50%,67,59,88.10%,66,60,90.90%,67,58,86.60%,67,56,83.60%,67,58,86.60%,67,60,89.60%,67,56,83.60%,67,59,88.10%,67,53,79.10%,67,53,79.10%,67,55,82.10%,67,60,89.60%,67,61,91.00%,67,57,85.10%,67,59,88.10%,65,57,87.70%,67,53,79.10%,67,52,77.60%,67,61,91.00%,67,59,88.10%,67,60,89.60%,67,61,91.00%,67,60,89.60%,67,56,83.60%,67,50,74.60%,67,58,86.60%,66,56,84.80%,67,62,92.50%,66,59,89.40%,66,58,87.90%,66,54,81.80%,65,53,81.50%,66,52,78.80%,66,52,78.80%,66,51,77.30%,65,51,78.50%,66,58,87.90%,66,54,81.80%,66,55,83.30%,67,63,94.00%,66,61,92.40%,66,58,87.90%,67,62,92.50%,66,60,90.90%,66,56,84.80%,66,56,84.80%
