Code,Name,CC Adult Open_43437,CC Adult Occ_43437,Occupancy rate_43437,CC Adult Open_43438,CC Adult Occ_43438,Occupancy rate_43438,CC Adult Open_43439,CC Adult Occ_43439,Occupancy rate_43439,CC Adult Open_43440,CC Adult Occ_43440,Occupancy rate_43440,CC Adult Open_43441,CC Adult Occ_43441,Occupancy rate_43441,CC Adult Open_43442,CC Adult Occ_43442,Occupancy rate_43442,CC Adult Open_43443,CC Adult Occ_43443,Occupancy rate_43443,CC Adult Open_43444,CC Adult Occ_43444,Occupancy rate_43444,CC Adult Open_43445,CC Adult Occ_43445,Occupancy rate_43445,CC Adult Open_43446,CC Adult Occ_43446,Occupancy rate_43446,CC Adult Open_43447,CC Adult Occ_43447,Occupancy rate_43447,CC Adult Open_43448,CC Adult Occ_43448,Occupancy rate_43448,CC Adult Open_43449,CC Adult Occ_43449,Occupancy rate_43449,CC Adult Open_43450,CC Adult Occ_43450,Occupancy rate_43450,CC Adult Open_43451,CC Adult Occ_43451,Occupancy rate_43451,CC Adult Open_43452,CC Adult Occ_43452,Occupancy rate_43452,CC Adult Open_43453,CC Adult Occ_43453,Occupancy rate_43453,CC Adult Open_43454,CC Adult Occ_43454,Occupancy rate_43454,CC Adult Open_43455,CC Adult Occ_43455,Occupancy rate_43455,CC Adult Open_43456,CC Adult Occ_43456,Occupancy rate_43456,CC Adult Open_43457,CC Adult Occ_43457,Occupancy rate_43457,CC Adult Open_43458,CC Adult Occ_43458,Occupancy rate_43458,CC Adult Open_43459,CC Adult Occ_43459,Occupancy rate_43459,CC Adult Open_43460,CC Adult Occ_43460,Occupancy rate_43460,CC Adult Open_43461,CC Adult Occ_43461,Occupancy rate_43461,CC Adult Open_43462,CC Adult Occ_43462,Occupancy rate_43462,CC Adult Open_43463,CC Adult Occ_43463,Occupancy rate_43463,CC Adult Open_43464,CC Adult Occ_43464,Occupancy rate_43464,CC Adult Open_43465,CC Adult Occ_43465,Occupancy rate_43465,CC Adult Open_43466,CC Adult Occ_43466,Occupancy rate_43466,CC Adult Open_43467,CC Adult Occ_43467,Occupancy rate_43467,CC Adult Open_43468,CC Adult Occ_43468,Occupancy rate_43468,CC Adult Open_43469,CC Adult Occ_43469,Occupancy rate_43469,CC Adult Open_43470,CC Adult Occ_43470,Occupancy rate_43470,CC Adult Open_43471,CC Adult Occ_43471,Occupancy rate_43471,CC Adult Open_43472,CC Adult Occ_43472,Occupancy rate_43472,CC Adult Open_43473,CC Adult Occ_43473,Occupancy rate_43473,CC Adult Open_43474,CC Adult Occ_43474,Occupancy rate_43474,CC Adult Open_43475,CC Adult Occ_43475,Occupancy rate_43475,CC Adult Open_43476,CC Adult Occ_43476,Occupancy rate_43476,CC Adult Open_43477,CC Adult Occ_43477,Occupancy rate_43477,CC Adult Open_43478,CC Adult Occ_43478,Occupancy rate_43478,CC Adult Open_43479,CC Adult Occ_43479,Occupancy rate_43479,CC Adult Open_43480,CC Adult Occ_43480,Occupancy rate_43480,CC Adult Open_43481,CC Adult Occ_43481,Occupancy rate_43481,CC Adult Open_43482,CC Adult Occ_43482,Occupancy rate_43482,CC Adult Open_43483,CC Adult Occ_43483,Occupancy rate_43483,CC Adult Open_43484,CC Adult Occ_43484,Occupancy rate_43484,CC Adult Open_43485,CC Adult Occ_43485,Occupancy rate_43485,CC Adult Open_43486,CC Adult Occ_43486,Occupancy rate_43486,CC Adult Open_43487,CC Adult Occ_43487,Occupancy rate_43487,CC Adult Open_43488,CC Adult Occ_43488,Occupancy rate_43488,CC Adult Open_43489,CC Adult Occ_43489,Occupancy rate_43489,CC Adult Open_43490,CC Adult Occ_43490,Occupancy rate_43490,CC Adult Open_43491,CC Adult Occ_43491,Occupancy rate_43491,CC Adult Open_43492,CC Adult Occ_43492,Occupancy rate_43492,CC Adult Open_43493,CC Adult Occ_43493,Occupancy rate_43493,CC Adult Open_43494,CC Adult Occ_43494,Occupancy rate_43494,CC Adult Open_43495,CC Adult Occ_43495,Occupancy rate_43495,CC Adult Open_43496,CC Adult Occ_43496,Occupancy rate_43496,CC Adult Open_43497,CC Adult Occ_43497,Occupancy rate_43497,CC Adult Open_43498,CC Adult Occ_43498,Occupancy rate_43498,CC Adult Open_43499,CC Adult Occ_43499,Occupancy rate_43499,CC Adult Open_43500,CC Adult Occ_43500,Occupancy rate_43500,CC Adult Open_43501,CC Adult Occ_43501,Occupancy rate_43501,CC Adult Open_43502,CC Adult Occ_43502,Occupancy rate_43502,CC Adult Open_43503,CC Adult Occ_43503,Occupancy rate_43503,CC Adult Open_43504,CC Adult Occ_43504,Occupancy rate_43504,CC Adult Open_43505,CC Adult Occ_43505,Occupancy rate_43505,CC Adult Open_43506,CC Adult Occ_43506,Occupancy rate_43506,CC Adult Open_43507,CC Adult Occ_43507,Occupancy rate_43507,CC Adult Open_43508,CC Adult Occ_43508,Occupancy rate_43508,CC Adult Open_43509,CC Adult Occ_43509,Occupancy rate_43509,CC Adult Open_43510,CC Adult Occ_43510,Occupancy rate_43510,CC Adult Open_43511,CC Adult Occ_43511,Occupancy rate_43511,CC Adult Open_43512,CC Adult Occ_43512,Occupancy rate_43512,CC Adult Open_43513,CC Adult Occ_43513,Occupancy rate_43513,CC Adult Open_43514,CC Adult Occ_43514,Occupancy rate_43514,CC Adult Open_43515,CC Adult Occ_43515,Occupancy rate_43515,CC Adult Open_43516,CC Adult Occ_43516,Occupancy rate_43516,CC Adult Open_43517,CC Adult Occ_43517,Occupancy rate_43517,CC Adult Open_43518,CC Adult Occ_43518,Occupancy rate_43518,CC Adult Open_43519,CC Adult Occ_43519,Occupancy rate_43519,CC Adult Open_43520,CC Adult Occ_43520,Occupancy rate_43520,CC Adult Open_43521,CC Adult Occ_43521,Occupancy rate_43521,CC Adult Open_43522,CC Adult Occ_43522,Occupancy rate_43522,CC Adult Open_43523,CC Adult Occ_43523,Occupancy rate_43523,CC Adult Open_43524,CC Adult Occ_43524,Occupancy rate_43524,CC Adult Open_43525,CC Adult Occ_43525,Occupancy rate_43525,CC Adult Open_43526,CC Adult Occ_43526,Occupancy rate_43526,CC Adult Open_43527,CC Adult Occ_43527,Occupancy rate_43527
RAX,Kingston Hospital NHS Foundation Trust,12,11,91.7%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,10,83.3%,12,9,75.0%,14,10,71.4%,14,10,71.4%,14,7,50.0%,14,7,50.0%,14,7,50.0%,14,8,57.1%,14,11,78.6%,14,10,71.4%,14,12,85.7%,14,11,78.6%,14,9,64.3%,14,9,64.3%,14,9,64.3%,14,10,71.4%,14,10,71.4%,14,10,71.4%,14,12,85.7%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,10,71.4%,14,12,85.7%,14,14,100.0%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,10,71.4%,14,10,71.4%,14,10,71.4%,14,10,71.4%,14,12,85.7%,14,10,71.4%,14,10,71.4%,14,9,64.3%,14,12,85.7%,14,10,71.4%,14,9,64.3%,10,7,70.0%,14,7,50.0%,14,7,50.0%,14,9,64.3%,14,9,64.3%,14,9,64.3%,14,9,64.3%,14,9,64.3%,14,9,64.3%,14,12,85.7%,14,9,64.3%,14,9,64.3%,14,13,92.9%,14,13,92.9%,14,8,57.1%,14,11,78.6%,14,11,78.6%,14,10,71.4%,14,10,71.4%,14,10,71.4%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,12,85.7%,14,13,92.9%,14,12,85.7%,14,12,85.7%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,11,78.6%,14,12,85.7%,14,11,78.6%,14,10,71.4%,14,10,71.4%,14,9,64.3%,14,10,71.4%,14,10,71.4%,14,7,50.0%,14,9,64.3%,14,11,78.6%,14,9,64.3%,14,8,57.1%,14,7,50.0%,14,7,50.0%,14,7,50.0%
RJ2,Lewisham and Greenwich NHS Trust,36,27,75.0%,36,36,100.0%,36,31,86.1%,36,28,77.8%,36,28,77.8%,36,26,72.2%,36,29,80.6%,36,29,80.6%,36,33,91.7%,36,30,83.3%,36,27,75.0%,36,30,83.3%,36,32,88.9%,36,34,94.4%,36,34,94.4%,36,31,86.1%,36,28,77.8%,37,28,75.7%,36,32,88.9%,36,32,88.9%,36,27,75.0%,36,26,72.2%,36,30,83.3%,36,33,91.7%,36,31,86.1%,36,30,83.3%,36,30,83.3%,36,27,75.0%,36,29,80.6%,36,25,69.4%,36,27,75.0%,36,27,75.0%,36,29,80.6%,36,27,75.0%,36,28,77.8%,36,30,83.3%,36,29,80.6%,36,29,80.6%,36,29,80.6%,36,31,86.1%,36,29,80.6%,36,31,86.1%,36,29,80.6%,36,31,86.1%,36,31,86.1%,36,30,83.3%,36,26,72.2%,36,30,83.3%,36,29,80.6%,36,30,83.3%,36,31,86.1%,36,32,88.9%,36,32,88.9%,36,25,69.4%,36,26,72.2%,36,26,72.2%,36,28,77.8%,36,33,91.7%,36,32,88.9%,36,33,91.7%,36,31,86.1%,36,32,88.9%,37,34,91.9%,36,34,94.4%,36,35,97.2%,36,34,94.4%,48,34,70.8%,36,31,86.1%,36,31,86.1%,36,33,91.7%,36,33,91.7%,38,37,97.4%,37,34,91.9%,36,31,86.1%,36,31,86.1%,36,32,88.9%,36,32,88.9%,36,30,83.3%,36,30,83.3%,36,25,69.4%,36,30,83.3%,36,31,86.1%,37,33,89.2%,37,34,91.9%,36,29,80.6%,36,29,80.6%,36,30,83.3%,36,29,80.6%,36,29,80.6%,36,28,77.8%,37,31,83.8%
R1K,London North West University Healthcare NHS Trust,33,30,90.9%,33,29,87.9%,33,28,84.8%,33,27,81.8%,33,25,75.8%,33,27,81.8%,33,27,81.8%,33,27,81.8%,33,25,75.8%,33,25,75.8%,33,26,78.8%,33,26,78.8%,33,27,81.8%,33,27,81.8%,33,27,81.8%,33,28,84.8%,33,29,87.9%,33,27,81.8%,33,27,81.8%,33,27,81.8%,33,27,81.8%,33,27,81.8%,33,29,87.9%,33,26,78.8%,33,26,78.8%,33,29,87.9%,33,29,87.9%,33,29,87.9%,33,27,81.8%,33,25,75.8%,33,27,81.8%,33,28,84.8%,33,25,75.8%,33,26,78.8%,33,29,87.9%,33,30,90.9%,33,28,84.8%,33,28,84.8%,33,26,78.8%,33,25,75.8%,33,25,75.8%,33,25,75.8%,33,28,84.8%,33,31,93.9%,33,30,90.9%,33,28,84.8%,33,25,75.8%,33,26,78.8%,33,27,81.8%,33,26,78.8%,33,26,78.8%,33,28,84.8%,33,28,84.8%,33,28,84.8%,33,28,84.8%,33,29,87.9%,33,27,81.8%,33,29,87.9%,33,28,84.8%,33,27,81.8%,33,24,72.7%,33,24,72.7%,33,24,72.7%,33,28,84.8%,33,27,81.8%,33,29,87.9%,33,28,84.8%,33,23,69.7%,33,24,72.7%,33,25,75.8%,33,30,90.9%,33,30,90.9%,33,28,84.8%,33,28,84.8%,33,24,72.7%,33,25,75.8%,33,26,78.8%,33,28,84.8%,33,27,81.8%,33,27,81.8%,33,24,72.7%,33,27,81.8%,33,27,81.8%,33,28,84.8%,33,26,78.8%,33,28,84.8%,33,27,81.8%,33,28,84.8%,33,28,84.8%,33,29,87.9%,33,29,87.9%
RAP,North Middlesex University Hospital NHS Trust,10,8,80.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,7,70.0%,10,8,80.0%,10,8,80.0%,10,8,80.0%,10,7,70.0%,10,8,80.0%,10,8,80.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,10,100.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,7,70.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,8,80.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,10,100.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,7,70.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,9,90.0%,10,8,80.0%,10,9,90.0%
RAL,Royal Free London NHS Foundation Trust,57,54,94.7%,57,56,98.2%,56,56,100.0%,55,52,94.5%,54,51,94.4%,54,53,98.1%,57,56,98.2%,56,56,100.0%,55,54,98.2%,57,55,96.5%,57,56,98.2%,57,57,100.0%,54,53,98.1%,55,50,90.9%,56,52,92.9%,56,50,89.3%,52,50,96.2%,52,46,88.5%,52,50,96.2%,52,51,98.1%,50,47,94.0%,48,46,95.8%,48,46,95.8%,49,46,93.9%,53,49,92.5%,51,47,92.2%,51,44,86.3%,50,47,94.0%,50,48,96.0%,50,47,94.0%,54,51,94.4%,54,51,94.4%,54,52,96.3%,54,51,94.4%,56,55,98.2%,56,54,96.4%,57,53,93.0%,57,55,96.5%,57,57,100.0%,23,22,95.7%,23,22,95.7%,55,52,94.5%,56,52,92.9%,56,54,96.4%,59,54,91.5%,57,55,96.5%,57,53,93.0%,57,53,93.0%,56,51,91.1%,56,54,96.4%,57,54,94.7%,57,54,94.7%,55,55,100.0%,23,21,91.3%,23,20,87.0%,56,51,91.1%,56,52,92.9%,57,56,98.2%,57,54,94.7%,57,55,96.5%,57,55,96.5%,57,54,94.7%,58,58,100.0%,57,54,94.7%,57,55,96.5%,57,52,91.2%,57,51,89.5%,55,50,90.9%,55,51,92.7%,54,50,92.6%,54,52,96.3%,58,56,96.6%,56,53,94.6%,56,54,96.4%,56,52,92.9%,56,55,98.2%,54,53,98.1%,55,51,92.7%,57,57,100.0%,57,56,98.2%,56,54,96.4%,54,51,94.4%,53,49,92.5%,53,51,96.2%,57,55,96.5%,56,53,94.6%,55,52,94.5%,52,46,88.5%,54,51,94.4%,54,51,94.4%,55,54,98.2%
RJ7,St George's University Hospitals NHS Foundation Trust,60,55,91.7%,60,53,88.3%,60,53,88.3%,60,58,96.7%,60,58,96.7%,53,53,100.0%,60,47,78.3%,60,47,78.3%,60,52,86.7%,60,54,90.0%,60,58,96.7%,60,54,90.0%,60,57,95.0%,60,53,88.3%,60,57,95.0%,60,58,96.7%,60,60,100.0%,60,56,93.3%,60,60,100.0%,53,51,96.2%,60,51,85.0%,60,49,81.7%,60,44,73.3%,60,49,81.7%,56,50,89.3%,56,51,91.1%,56,52,92.9%,56,50,89.3%,53,50,94.3%,53,48,90.6%,53,52,98.1%,53,47,88.7%,53,47,88.7%,53,47,88.7%,53,52,98.1%,53,48,90.6%,60,59,98.3%,60,54,90.0%,60,59,98.3%,60,56,93.3%,60,59,98.3%,60,50,83.3%,60,56,93.3%,60,57,95.0%,60,57,95.0%,60,57,95.0%,60,60,100.0%,57,54,94.7%,60,56,93.3%,60,59,98.3%,60,57,95.0%,60,58,96.7%,60,58,96.7%,60,58,96.7%,60,58,96.7%,60,60,100.0%,60,58,96.7%,60,58,96.7%,60,56,93.3%,60,60,100.0%,60,59,98.3%,56,48,85.7%,60,55,91.7%,60,58,96.7%,60,56,93.3%,60,58,96.7%,60,60,100.0%,60,60,100.0%,63,63,100.0%,56,54,96.4%,60,59,98.3%,60,57,95.0%,60,58,96.7%,60,59,98.3%,60,54,90.0%,60,58,96.7%,57,50,87.7%,60,58,96.7%,60,60,100.0%,60,53,88.3%,60,58,96.7%,60,54,90.0%,60,56,93.3%,60,53,88.3%,60,53,88.3%,60,57,95.0%,60,54,90.0%,60,58,96.7%,60,57,95.0%,60,58,96.7%,60,56,93.3%
RAS,The Hillingdon Hospitals NHS Foundation Trust,9,5,55.6%,9,6,66.7%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,7,77.8%,9,8,88.9%,9,9,100.0%,9,8,88.9%,9,9,100.0%,9,9,100.0%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,9,100.0%,9,7,77.8%,9,8,88.9%,9,6,66.7%,9,6,66.7%,9,6,66.7%,9,7,77.8%,9,7,77.8%,9,9,100.0%,9,8,88.9%,9,8,88.9%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,6,66.7%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,9,100.0%,9,9,100.0%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,6,66.7%,8,6,75.0%,8,8,100.0%,8,8,100.0%,8,7,87.5%,9,9,100.0%,9,9,100.0%,9,9,100.0%,10,10,100.0%,10,10,100.0%,9,9,100.0%,9,9,100.0%,9,8,88.9%,9,8,88.9%,8,8,100.0%,9,7,77.8%,9,6,66.7%,9,7,77.8%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,9,100.0%,9,8,88.9%,9,8,88.9%,9,9,100.0%,9,7,77.8%,9,9,100.0%,9,9,100.0%,10,10,100.0%,9,8,88.9%,9,9,100.0%,9,9,100.0%,10,10,100.0%,9,9,100.0%,9,9,100.0%,9,9,100.0%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,8,88.9%,9,9,100.0%,9,8,88.9%
RRV,University College London Hospitals NHS Foundation Trust,65,56,86.2%,65,55,84.6%,65,61,93.8%,65,57,87.7%,65,55,84.6%,65,55,84.6%,65,51,78.5%,65,55,84.6%,65,52,80.0%,65,57,87.7%,65,63,96.9%,65,54,83.1%,65,50,76.9%,65,52,80.0%,65,58,89.2%,65,54,83.1%,65,59,90.8%,65,55,84.6%,65,55,84.6%,65,53,81.5%,65,52,80.0%,65,51,78.5%,65,49,75.4%,65,50,76.9%,65,47,72.3%,65,53,81.5%,65,51,78.5%,65,53,81.5%,65,56,86.2%,65,51,78.5%,65,52,80.0%,65,55,84.6%,65,50,76.9%,65,50,76.9%,65,49,75.4%,65,55,84.6%,65,57,87.7%,65,57,87.7%,65,48,73.8%,65,49,75.4%,65,49,75.4%,65,48,73.8%,65,57,87.7%,65,57,87.7%,65,57,87.7%,65,58,89.2%,65,55,84.6%,65,55,84.6%,65,49,75.4%,65,54,83.1%,65,59,90.8%,65,58,89.2%,65,55,84.6%,65,51,78.5%,65,50,76.9%,65,45,69.2%,65,44,67.7%,65,48,73.8%,65,51,78.5%,65,54,83.1%,65,57,87.7%,65,54,83.1%,65,48,73.8%,65,49,75.4%,65,55,84.6%,65,58,89.2%,65,54,83.1%,65,53,81.5%,65,50,76.9%,65,49,75.4%,65,51,78.5%,65,55,84.6%,65,53,81.5%,65,56,86.2%,65,58,89.2%,65,52,80.0%,65,49,75.4%,65,53,81.5%,65,52,80.0%,65,59,90.8%,65,56,86.2%,65,55,84.6%,65,53,81.5%,65,52,80.0%,65,56,86.2%,65,57,87.7%,65,59,90.8%,65,55,84.6%,65,55,84.6%,65,52,80.0%,65,51,78.5%
RKE,Whittington Health NHS Trust,10,4,40.0%,10,7,70.0%,10,7,70.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,8,80.0%,10,9,90.0%,10,7,70.0%,10,7,70.0%,10,8,80.0%,10,8,80.0%,10,6,60.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,8,80.0%,10,7,70.0%,10,7,70.0%,10,7,70.0%,10,5,50.0%,10,5,50.0%,10,2,20.0%,10,6,60.0%,10,5,50.0%,10,6,60.0%,10,8,80.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,8,80.0%,10,10,100.0%,10,7,70.0%,10,7,70.0%,10,6,60.0%,10,7,70.0%,10,7,70.0%,10,5,50.0%,10,6,60.0%,10,9,90.0%,10,8,80.0%,10,9,90.0%,10,9,90.0%,11,11,100.0%,10,9,90.0%,10,9,90.0%,10,0,0.0%,10,9,90.0%,10,10,100.0%,10,1,10.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,10,100.0%,10,9,90.0%,10,7,70.0%,10,10,100.0%,10,10,100.0%,10,9,90.0%,11,11,100.0%,11,11,100.0%,10,9,90.0%,10,9,90.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%,11,11,100.0%,11,11,100.0%,11,11,100.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,9,90.0%,10,8,80.0%,10,10,100.0%,11,11,100.0%,11,11,100.0%,10,10,100.0%,10,10,100.0%,10,10,100.0%
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,34,32,94.1%,34,30,88.2%,34,33,97.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,30,88.2%,34,31,91.2%,34,31,91.2%,34,32,94.1%,34,33,97.1%,34,32,94.1%,34,33,97.1%,34,33,97.1%,34,33,97.1%,34,33,97.1%,34,33,97.1%,34,33,97.1%,34,32,94.1%,34,33,97.1%,34,32,94.1%,34,30,88.2%,34,31,91.2%,34,31,91.2%,34,32,94.1%,34,33,97.1%,34,33,97.1%,34,32,94.1%,34,33,97.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,34,100.0%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,33,97.1%,34,34,100.0%,34,33,97.1%,34,32,94.1%,34,33,97.1%,34,34,100.0%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,33,97.1%,34,30,88.2%,34,32,94.1%,34,30,88.2%,34,29,85.3%,34,30,88.2%,34,31,91.2%,34,33,97.1%,34,33,97.1%,34,28,82.4%,34,32,94.1%,34,34,100.0%,34,34,100.0%,34,28,82.4%,34,31,91.2%,34,32,94.1%,34,34,100.0%,34,34,100.0%,34,34,100.0%,34,34,100.0%,34,34,100.0%,34,25,73.5%,34,30,88.2%,34,25,73.5%,34,30,88.2%,34,31,91.2%,34,31,91.2%,34,31,91.2%,34,33,97.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,31,91.2%,34,33,97.1%,34,33,97.1%,34,33,97.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,32,94.1%,34,31,91.2%,34,31,91.2%
RC1,Bedford Hospital NHS Trust,11,7,63.6%,11,8,72.7%,11,8,72.7%,11,10,90.9%,11,9,81.8%,11,8,72.7%,11,6,54.5%,11,7,63.6%,11,7,63.6%,11,9,81.8%,11,7,63.6%,11,6,54.5%,11,6,54.5%,11,6,54.5%,11,5,45.5%,11,6,54.5%,11,5,45.5%,11,6,54.5%,11,8,72.7%,11,6,54.5%,11,6,54.5%,11,5,45.5%,11,6,54.5%,11,6,54.5%,11,6,54.5%,11,5,45.5%,11,5,45.5%,11,7,63.6%,11,9,81.8%,11,9,81.8%,11,11,100.0%,11,11,100.0%,11,10,90.9%,11,10,90.9%,11,10,90.9%,11,10,90.9%,11,10,90.9%,11,10,90.9%,11,9,81.8%,11,8,72.7%,11,8,72.7%,11,7,63.6%,11,7,63.6%,11,8,72.7%,11,8,72.7%,11,6,54.5%,11,7,63.6%,11,7,63.6%,11,8,72.7%,11,10,90.9%,11,9,81.8%,11,7,63.6%,11,7,63.6%,11,8,72.7%,12,12,100.0%,11,8,72.7%,11,8,72.7%,11,8,72.7%,11,8,72.7%,11,7,63.6%,11,8,72.7%,11,8,72.7%,11,9,81.8%,11,7,63.6%,11,6,54.5%,11,9,81.8%,11,8,72.7%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,9,81.8%,11,10,90.9%,11,10,90.9%,11,9,81.8%,11,8,72.7%,11,7,63.6%,11,9,81.8%,11,7,63.6%,11,10,90.9%,11,7,63.6%,11,7,63.6%,11,8,72.7%,11,9,81.8%,11,8,72.7%,11,9,81.8%,11,9,81.8%,11,8,72.7%,11,9,81.8%,11,8,72.7%
RQ3,Birmingham Women's and Children's NHS Foundation Trust,4,3,75.0%,4,1,25.0%,4,1,25.0%,4,1,25.0%,4,2,50.0%,4,2,50.0%,4,4,100.0%,4,4,100.0%,6,6,100.0%,4,3,75.0%,4,4,100.0%,4,3,75.0%,4,1,25.0%,5,2,40.0%,4,4,100.0%,4,2,50.0%,4,3,75.0%,4,3,75.0%,4,4,100.0%,4,4,100.0%,4,4,100.0%,4,4,100.0%,4,3,75.0%,4,4,100.0%,4,2,50.0%,4,3,75.0%,4,4,100.0%,4,4,100.0%,4,4,100.0%,7,7,100.0%,4,3,75.0%,5,5,100.0%,6,6,100.0%,8,8,100.0%,4,2,50.0%,4,1,25.0%,4,4,100.0%,4,2,50.0%,4,3,75.0%,4,4,100.0%,4,2,50.0%,5,5,100.0%,4,4,100.0%,4,1,25.0%,4,3,75.0%,4,1,25.0%,4,1,25.0%,4,0,0.0%,4,2,50.0%,4,4,100.0%,4,1,25.0%,4,1,25.0%,4,0,0.0%,4,1,25.0%,4,3,75.0%,4,4,100.0%,5,5,100.0%,4,1,25.0%,4,0,0.0%,4,2,50.0%,5,5,100.0%,4,2,50.0%,4,4,100.0%,4,3,75.0%,4,1,25.0%,4,2,50.0%,4,3,75.0%,4,1,25.0%,4,2,50.0%,5,5,100.0%,7,7,100.0%,4,4,100.0%,4,4,100.0%,4,1,25.0%,4,3,75.0%,4,2,50.0%,4,4,100.0%,4,1,25.0%,4,1,25.0%,4,1,25.0%,4,0,0.0%,4,2,50.0%,4,3,75.0%,4,4,100.0%,4,4,100.0%,4,2,50.0%,4,2,50.0%,4,3,75.0%,4,4,100.0%,4,1,25.0%,4,1,25.0%
