"Code","Name","Region_code","Region_name","Date","Period","adult_beds_open","adult_beds_occupied","adult_beds_available","Percentage_adult_beds_available","Percentage_adult_cc_beds_occupied","last_thursday","Emergency_catchment_pop_2018","cc_beds_per_100000","occupancy_above_85"
"RHM","University Hospital Southampton NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",110,95,15,0.136363636363636,0.863636363636364,2020-01-30,588542,18.6902549010946,">= 85%"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",118,99,19,0.161016949152542,0.838983050847458,2020-01-30,581566,20.2900444661483,"below 85%"
"RHU","Portsmouth Hospitals NHS Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",18,18,0,0,1,2020-01-30,582675,3.08920066932681,">= 85%"
"RHW","Royal Berkshire NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",15,12,3,0.2,0.8,2020-01-30,458864,3.26894243174448,"below 85%"
"RJ1","Guy's and St Thomas' NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",85,68,17,0.2,0.8,2020-01-30,568727,14.9456593409492,"below 85%"
"RJ2","Lewisham and Greenwich NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",33,26,7,0.212121212121212,0.787878787878788,2020-01-30,586700,5.62468041588546,"below 85%"
"RJ6","Croydon Health Services NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",14,10,4,0.285714285714286,0.714285714285714,2020-01-30,282594,4.95410376724205,"below 85%"
"RJ7","St George's University Hospitals NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",60,58,2,0.0333333333333333,0.966666666666667,2020-01-30,617081,9.72319679264148,">= 85%"
"RJC","South Warwickshire NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",7,6,1,0.142857142857143,0.857142857142857,2020-01-30,236451,2.96044423580361,">= 85%"
"RJE","University Hospitals of North Midlands NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",82,68,14,0.170731707317073,0.829268292682927,2020-01-30,689290,11.8962990903684,"below 85%"
"RJL","Northern Lincolnshire and Goole NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",14,13,1,0.0714285714285714,0.928571428571429,2020-01-30,371278,3.77075937707055,">= 85%"
"RJN","East Cheshire NHS Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",6,5,1,0.166666666666667,0.833333333333333,2020-01-30,140205,4.27944795121429,"below 85%"
"RJR","Countess of Chester Hospital NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",15,11,4,0.266666666666667,0.733333333333333,2020-01-30,198860,7.54299507190989,"below 85%"
"RJZ","King's College Hospital NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",96,90,6,0.0625,0.9375,2020-01-30,662737,14.4853840965572,">= 85%"
"RK5","Sherwood Forest Hospitals NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",11,9,2,0.181818181818182,0.818181818181818,2020-01-30,329250,3.34092634776006,"below 85%"
"RK9","University Hospitals Plymouth NHS Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",42,37,5,0.119047619047619,0.880952380952381,2020-01-30,478269,8.78166889344699,">= 85%"
"RKB","University Hospitals Coventry and Warwickshire NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",37,37,0,0,1,2020-01-30,594552,6.22317307821688,">= 85%"
"RKE","Whittington Health NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",10,7,3,0.3,0.7,2020-01-30,217447,4.59882178185949,"below 85%"
"RL1","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",4,4,0,0,1,2020-01-30,2282,175.284837861525,">= 85%"
"RL4","The Royal Wolverhampton NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",28,19,9,0.321428571428571,0.678571428571429,2020-01-30,405228,6.90969034716258,"below 85%"
"RLQ","Wye Valley NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",6,6,0,0,1,2020-01-30,184991,3.24340103032039,">= 85%"
"RLT","George Eliot Hospital NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",8,6,2,0.25,0.75,2020-01-30,134180,5.96214040840662,"below 85%"
"RM1","Norfolk and Norwich University Hospitals NHS Foundation Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",20,15,5,0.25,0.75,2020-01-30,612116,3.26735455371204,"below 85%"
"RM3","Salford Royal NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",30,30,0,0,1,2020-01-30,301533,9.94915979345544,">= 85%"
"RMC","Bolton NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",18,14,4,0.222222222222222,0.777777777777778,2020-01-30,304873,5.9040977718591,"below 85%"
"RMP","Tameside and Glossop Integrated Care NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",9,6,3,0.333333333333333,0.666666666666667,2020-01-30,190809,4.71675864346021,"below 85%"
"RN3","Great Western Hospitals NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",12,9,3,0.25,0.75,2020-01-30,387282,3.09851735944351,"below 85%"
"RN5","Hampshire Hospitals NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",24,23,1,0.0416666666666667,0.958333333333333,2020-01-30,440874,5.44373222281196,">= 85%"
"RN7","Dartford and Gravesham NHS Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",10,10,0,0,1,2020-01-30,311774,3.20745155144432,">= 85%"
"RNA","The Dudley Group NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",20,20,0,0,1,2020-01-30,367453,5.44287296606641,">= 85%"
"RNN","North Cumbria Integrated Care NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",15,12,3,0.2,0.8,2020-01-30,NA,NA,"below 85%"
"RNQ","Kettering General Hospital NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",12,9,3,0.25,0.75,2020-01-30,299501,4.00666441848274,"below 85%"
"RNS","Northampton General Hospital NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",16,8,8,0.5,0.5,2020-01-30,376889,4.2452817673108,"below 85%"
"RNZ","Salisbury NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",10,7,3,0.3,0.7,2020-01-30,230438,4.33956205139777,"below 85%"
"RP4","Great Ormond Street Hospital For Children NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",0,0,0,NA,NA,2020-01-30,13614,0,NA
"RP5","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",20,13,7,0.35,0.65,2020-01-30,431507,4.63491901637749,"below 85%"
"RPA","Medway NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",29,26,3,0.103448275862069,0.896551724137931,2020-01-30,361630,8.01924619085806,">= 85%"
"RPC","Queen Victoria Hospital NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",5,3,2,0.4,0.6,2020-01-30,111553,4.48217439244126,"below 85%"
"RPY","The Royal Marsden NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",16,13,3,0.1875,0.8125,2020-01-30,27603,57.9647139803645,"below 85%"
"RQ3","Birmingham Women's and Children's NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",4,4,0,0,1,2020-01-30,196875,2.03174603174603,">= 85%"
"RQ8","Mid Essex Hospital Services NHS Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",21,13,8,0.380952380952381,0.619047619047619,2020-01-30,431539,4.86630408839062,"below 85%"
"RQM","Chelsea and Westminster Hospital NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",22,21,1,0.0454545454545455,0.954545454545455,2020-01-30,646794,3.40139209702007,">= 85%"
"RQW","The Princess Alexandra Hospital NHS Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",10,9,1,0.1,0.9,2020-01-30,286538,3.4899385072835,">= 85%"
"RQX","Homerton University Hospital NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",10,10,0,0,1,2020-01-30,249717,4.00453313150486,">= 85%"
"RR7","Gateshead Health NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",12,10,2,0.166666666666667,0.833333333333333,2020-01-30,184567,6.50170398825359,"below 85%"
"RR8","Leeds Teaching Hospitals NHS Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",104,93,11,0.105769230769231,0.894230769230769,2020-01-30,789733,13.1690077532533,">= 85%"
"RRF","Wrightington, Wigan and Leigh NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",11,5,6,0.545454545454545,0.454545454545455,2020-01-30,257238,4.27619558541118,"below 85%"
"RRJ","The Royal Orthopaedic Hospital NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",7,7,0,0,1,2020-01-30,3691,189.650501219182,">= 85%"
"RRK","University Hospitals Birmingham NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",93,87,6,0.0645161290322581,0.935483870967742,2020-01-30,1267489,7.33734178363678,">= 85%"
"RRV","University College London Hospitals NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",61,55,6,0.0983606557377049,0.901639344262295,2020-01-30,446948,13.6481201392556,">= 85%"
"RT3","Royal Brompton & Harefield NHS Foundation Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",104,79,25,0.240384615384615,0.759615384615385,2020-01-30,47871,217.250527459213,"below 85%"
"RTD","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",86,62,24,0.27906976744186,0.720930232558139,2020-01-30,542610,15.8493208750299,"below 85%"
"RTE","Gloucestershire Hospitals NHS Foundation Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",20,20,0,0,1,2020-01-30,582850,3.43141460066913,">= 85%"
"RTF","Northumbria Healthcare NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",15,12,3,0.2,0.8,2020-01-30,407825,3.67804818243119,"below 85%"
"RTG","University Hospitals of Derby and Burton NHS Foundation Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",55,43,12,0.218181818181818,0.781818181818182,2020-01-30,779796,7.05312671519218,"below 85%"
"RTH","Oxford University Hospitals NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",70,49,21,0.3,0.7,2020-01-30,772661,9.05960052338606,"below 85%"
"RTK","Ashford and St Peter's Hospitals NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",13,11,2,0.153846153846154,0.846153846153846,2020-01-30,279313,4.65427674329516,"below 85%"
"RTP","Surrey and Sussex Healthcare NHS Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",16,14,2,0.125,0.875,2020-01-30,382364,4.18449435616324,">= 85%"
"RTR","South Tees Hospitals NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",64,57,7,0.109375,0.890625,2020-01-30,453552,14.1108406533319,">= 85%"
"RTX","University Hospitals of Morecambe Bay NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",14,9,5,0.357142857142857,0.642857142857143,2020-01-30,328870,4.25700124669322,"below 85%"
"RVJ","North Bristol NHS Trust","Y58","South West Commissioning Region",2020-01-01,"January-2020",46,34,12,0.260869565217391,0.739130434782609,2020-01-30,440518,10.4422520759651,"below 85%"
"RVR","Epsom and St Helier University Hospitals NHS Trust","Y56","London Commissioning Region",2020-01-01,"January-2020",21,17,4,0.19047619047619,0.80952380952381,2020-01-30,384032,5.4682943088076,"below 85%"
"RVV","East Kent Hospitals University NHS Foundation Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",30,21,9,0.3,0.7,2020-01-30,682391,4.39630651635206,"below 85%"
"RVW","North Tees and Hartlepool NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",16,14,2,0.125,0.875,2020-01-30,301825,5.30108506584942,">= 85%"
"RVY","Southport and Ormskirk Hospital NHS Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",11,7,4,0.363636363636364,0.636363636363636,2020-01-30,191822,5.73448301029079,"below 85%"
"RW6","Pennine Acute Hospitals NHS Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",36,35,1,0.0277777777777778,0.972222222222222,2020-01-30,678855,5.30304704244647,">= 85%"
"RWA","Hull University Teaching Hospitals NHS Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",44,39,5,0.113636363636364,0.886363636363636,2020-01-30,537553,8.1852394089513,">= 85%"
"RWD","United Lincolnshire Hospitals NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",31,24,7,0.225806451612903,0.774193548387097,2020-01-30,557138,5.56415107208627,"below 85%"
"RWE","University Hospitals of Leicester NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",81,63,18,0.222222222222222,0.777777777777778,2020-01-30,920732,8.79734819686945,"below 85%"
"RWF","Maidstone and Tunbridge Wells NHS Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",19,11,8,0.421052631578947,0.578947368421053,2020-01-30,508887,3.73363831263129,"below 85%"
"RWG","West Hertfordshire Hospitals NHS Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",19,12,7,0.368421052631579,0.631578947368421,2020-01-30,407316,4.66468294886525,"below 85%"
"RWH","East and North Hertfordshire NHS Trust","Y61","East of England Commissioning Region",2020-01-01,"January-2020",18,13,5,0.277777777777778,0.722222222222222,2020-01-30,475363,3.78657993996167,"below 85%"
"RWJ","Stockport NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",13,12,1,0.0769230769230769,0.923076923076923,2020-01-30,311182,4.17761952812181,">= 85%"
"RWP","Worcestershire Acute Hospitals NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",21,14,7,0.333333333333333,0.666666666666667,2020-01-30,531470,3.95130487139443,"below 85%"
"RWW","Warrington and Halton Teaching Hospitals NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",18,16,2,0.111111111111111,0.888888888888889,2020-01-30,270848,6.64579395085066,">= 85%"
"RWY","Calderdale and Huddersfield NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",13,7,6,0.461538461538462,0.538461538461538,2020-01-30,410047,3.1703682748563,"below 85%"
"RX1","Nottingham University Hospitals NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",92,75,17,0.184782608695652,0.815217391304348,2020-01-30,834607,11.0231522141559,"below 85%"
"RXC","East Sussex Healthcare NHS Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",19,15,4,0.210526315789474,0.789473684210526,2020-01-30,364816,5.20810490767949,"below 85%"
"RXF","Mid Yorkshire Hospitals NHS Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",20,10,10,0.5,0.5,2020-01-30,563536,3.54901905113427,"below 85%"
"RXH","Brighton and Sussex University Hospitals NHS Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",51,44,7,0.137254901960784,0.862745098039216,2020-01-30,536102,9.5131150415406,">= 85%"
"RXK","Sandwell and West Birmingham Hospitals NHS Trust","Y60","Midlands Commissioning Region",2020-01-01,"January-2020",19,17,2,0.105263157894737,0.894736842105263,2020-01-30,424663,4.47413596192746,">= 85%"
"RXL","Blackpool Teaching Hospitals NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",34,31,3,0.0882352941176471,0.911764705882353,2020-01-30,309754,10.9764522814879,">= 85%"
"RXN","Lancashire Teaching Hospitals NHS Foundation Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",32,26,6,0.1875,0.8125,2020-01-30,415954,7.69315837808989,"below 85%"
"RXP","County Durham and Darlington NHS Foundation Trust","Y63","North East and Yorkshire Commissioning Region",2020-01-01,"January-2020",21,15,6,0.285714285714286,0.714285714285714,2020-01-30,499697,4.20254674332646,"below 85%"
"RXQ","Buckinghamshire Healthcare NHS Trust","Y59","South East Commissioning Region",2020-01-01,"January-2020",20,15,5,0.25,0.75,2020-01-30,386280,5.17759138448794,"below 85%"
"RXR","East Lancashire Hospitals NHS Trust","Y62","North West Commissioning Region",2020-01-01,"January-2020",24,21,3,0.125,0.875,2020-01-30,455260,5.27171286737249,">= 85%"
